timestamp,region,compute_usage_units,storage_usage_gb,cpu_utilization_percent,storage_utilization_percent,estimated_cost_usd,is_holiday,economic_index,day_of_week,is_weekend,month,quarter,compute_lag_1,compute_lag_7,compute_rolling_7,storage_rolling_7,compute_spike,storage_spike
2025-03-01,europe-west,705.63,1613.23,73.88,78.1,226.32,0,97.38,5,1,3,1,879.11,760.91,851.8842857142857,1887.2914285714285,0,0
2025-03-02,europe-west,826.9,1869.7,84.12,85.04,263.53,0,112.9,6,1,3,1,705.63,855.82,847.7528571428571,1882.8557142857142,0,0
2025-03-03,europe-west,837.04,1934.74,76.03,81.49,270.18,0,101.05,0,0,3,1,826.9,845.57,846.5342857142857,1887.3328571428572,0,0
2025-03-04,europe-west,866.51,1831.82,56.8,67.0,265.82,0,106.76,1,0,3,1,837.04,885.69,843.7942857142856,1868.1042857142857,0,0
2025-03-05,europe-west,826.68,1943.12,64.36,71.16,269.46,1,104.67,2,0,3,1,866.51,902.12,833.0171428571429,1857.7228571428573,0,0
2025-03-06,europe-west,801.89,1762.86,72.88,47.3,251.48,0,105.82,3,0,3,1,826.68,889.25,820.5371428571427,1841.5485714285714,0,0
2025-03-07,europe-west,694.02,1547.44,55.26,84.07,219.42,0,113.45,4,0,3,1,801.89,879.11,794.0957142857143,1786.1299999999999,0,0
2025-03-08,europe-west,555.14,1357.55,77.22,80.98,185.23,1,98.72,5,1,3,1,694.02,705.63,772.5971428571429,1749.6042857142857,0,0
2025-03-09,europe-west,591.13,1104.67,64.05,65.43,169.57,0,104.14,6,1,3,1,555.14,826.9,738.9157142857142,1640.3142857142855,0,0
2025-03-13,europe-west,908.27,2101.7,69.76,84.76,293.36,0,108.5,3,0,3,1,591.13,837.04,749.0914285714287,1664.1657142857143,0,0
2025-03-14,europe-west,854.94,2057.6,59.26,70.96,282.57,0,104.01,4,0,3,1,908.27,866.51,747.4385714285714,1696.4199999999998,0,0
2025-03-15,europe-west,956.78,1967.2,83.0,46.78,289.01,1,97.74,5,1,3,1,854.94,826.68,766.0242857142857,1699.8600000000001,0,0
2025-03-16,europe-west,869.24,2003.49,71.73,81.63,280.12,1,106.64,6,1,3,1,956.78,801.89,775.6457142857143,1734.2357142857143,0,0
2025-03-17,europe-west,874.81,1972.4,67.51,64.95,278.35,0,108.79,0,0,3,1,869.24,694.02,801.472857142857,1794.9442857142858,0,0
2025-03-18,europe-west,946.43,2070.94,61.66,78.32,296.03,0,105.99,1,0,3,1,874.81,555.14,857.3714285714286,1896.857142857143,0,0
2025-03-19,europe-west,855.25,1871.31,76.39,55.12,267.5,0,109.74,2,0,3,1,946.43,591.13,895.1028571428571,2006.3771428571429,0,0
2025-03-20,europe-west,995.73,2073.65,72.53,77.01,302.92,0,96.2,3,0,3,1,855.25,908.27,907.5971428571429,2002.3700000000001,0,0
2025-03-21,europe-west,885.31,1919.75,48.62,65.75,275.5,0,110.27,4,0,3,1,995.73,854.94,911.9357142857143,1982.677142857143,0,0
2025-03-22,europe-west,850.2,1867.03,85.17,86.35,266.47,1,105.12,5,1,3,1,885.31,956.78,896.7099999999999,1968.3671428571429,0,0
2025-03-23,europe-west,950.55,1966.13,75.06,72.11,288.08,1,109.39,6,1,3,1,850.2,869.24,908.3257142857143,1963.0300000000002,0,0
2025-03-24,europe-west,959.99,2009.85,76.42,60.02,292.91,0,98.36,0,0,3,1,950.55,874.81,920.4942857142858,1968.3800000000003,0,0
2025-03-25,europe-west,889.54,2000.46,90.33,61.33,282.62,0,103.24,1,0,3,1,959.99,946.43,912.3671428571428,1958.3114285714287,0,0
2025-03-26,europe-west,928.44,2032.59,69.55,70.09,290.48,0,107.37,2,0,3,1,889.54,855.25,922.8228571428572,1981.3514285714284,0,0
2025-03-27,europe-west,892.35,1997.64,73.99,78.69,282.77,0,110.84,3,0,3,1,928.44,995.73,908.0542857142857,1970.492857142857,0,0
2025-03-28,europe-west,920.15,2026.18,68.52,71.59,288.84,0,95.72,4,0,3,1,892.35,885.31,913.0314285714286,1985.6971428571428,0,0
2025-03-29,europe-west,921.11,2042.25,60.05,61.14,290.28,1,107.68,5,1,3,1,920.15,850.2,923.1614285714286,2010.7285714285715,0,0
2025-03-30,europe-west,905.66,2044.52,64.51,63.39,288.37,1,110.06,6,1,3,1,921.11,950.55,916.7485714285714,2021.9271428571428,0,0
2025-03-31,europe-west,885.44,2005.92,56.97,79.12,282.5,0,111.32,0,0,3,1,905.66,959.99,906.0985714285715,2021.3657142857141,0,0
2025-04-01,europe-west,717.42,1569.04,69.3,60.72,224.33,1,108.94,1,0,4,2,885.44,889.54,881.5100000000001,1959.7342857142855,0,0
2025-04-02,europe-west,819.82,1846.85,64.55,65.41,260.72,0,111.86,2,0,4,2,717.42,928.44,865.9928571428571,1933.2,0,0
2025-04-03,europe-west,856.26,1892.04,74.72,81.77,269.32,0,104.99,3,0,4,2,819.82,892.35,860.8371428571429,1918.1142857142859,0,0
2025-04-04,europe-west,948.63,2081.05,69.79,64.33,297.15,0,100.55,4,0,4,2,856.26,920.15,864.9057142857143,1925.952857142857,0,0
2025-04-05,europe-west,848.64,1950.51,65.49,63.89,273.03,1,112.43,5,1,4,2,948.63,921.11,854.5528571428571,1912.847142857143,0,0
2025-04-06,europe-west,757.21,1744.51,65.33,64.94,243.95,0,113.61,6,1,4,2,848.64,905.66,833.3457142857143,1869.9885714285715,0,0
2025-04-07,europe-west,683.37,1611.01,90.75,95.5,223.13,0,111.6,0,0,4,2,757.21,885.44,804.4785714285714,1813.5728571428572,0,0
2025-04-08,europe-west,600.62,1370.69,61.07,98.0,192.44,0,95.09,1,0,4,2,683.37,717.42,787.7928571428571,1785.237142857143,0,0
2025-04-09,europe-west,602.73,1266.27,86.16,53.83,184.26,0,103.6,2,0,4,2,600.62,819.82,756.78,1702.297142857143,0,0
2025-04-13,europe-west,898.04,1991.43,48.47,68.59,283.03,1,96.59,6,1,4,2,602.73,856.26,762.7485714285714,1716.4957142857143,0,0
2025-04-14,europe-west,947.4,2081.05,81.19,53.41,296.98,0,100.22,0,0,4,2,898.04,948.63,762.5728571428571,1716.4957142857145,0,0
2025-04-15,europe-west,929.23,1759.51,46.44,75.89,268.43,0,98.47,1,0,4,2,947.4,848.64,774.0857142857143,1689.2100000000003,0,0
2025-04-16,europe-west,934.75,1711.54,53.49,60.08,265.29,0,106.18,2,0,4,2,929.23,757.21,799.4485714285714,1684.5,0,0
2025-04-17,europe-west,836.09,1887.95,68.06,58.33,266.26,0,112.83,3,0,4,2,934.75,683.37,821.2657142857144,1724.0628571428572,0,0
2025-04-18,europe-west,933.2,2127.71,67.9,70.89,298.85,0,103.89,4,0,4,2,836.09,600.62,868.7771428571428,1832.2085714285713,0,0
2025-04-19,europe-west,986.72,2051.98,66.27,58.71,299.94,1,101.07,5,1,4,2,933.2,602.73,923.6328571428572,1944.4528571428575,0,0
2025-04-20,europe-west,934.2,1945.87,52.11,67.63,284.23,1,98.46,6,1,4,2,986.72,898.04,928.7985714285714,1937.9442857142858,0,0
2025-04-21,europe-west,772.17,1929.56,56.26,42.68,260.99,0,102.18,0,0,4,2,934.2,947.4,903.7657142857144,1916.302857142857,0,0
2025-04-22,europe-west,903.07,2049.63,81.72,62.41,288.44,0,104.95,1,0,4,2,772.17,929.23,900.0285714285714,1957.7485714285715,0,0
2025-04-23,europe-west,875.76,1882.16,50.87,62.36,271.15,0,107.63,2,0,4,2,903.07,934.75,891.6014285714285,1982.1228571428571,0,0
2025-04-24,europe-west,837.96,1922.62,60.24,98.0,269.32,0,107.89,3,0,4,2,875.76,836.09,891.8685714285714,1987.0757142857142,0,0
2025-04-25,europe-west,919.32,1987.8,54.03,56.97,285.62,0,113.22,4,0,4,2,837.96,933.2,889.8857142857142,1967.0885714285716,0,0
2025-04-26,europe-west,934.58,1985.97,59.92,78.2,287.53,1,100.2,5,1,4,2,919.32,986.72,882.4371428571428,1957.6585714285713,0,0
2025-04-27,europe-west,861.55,1975.6,66.29,88.48,276.81,1,106.56,6,1,4,2,934.58,934.2,872.0585714285714,1961.9057142857143,0,0
2025-04-28,europe-west,860.76,1986.55,85.54,55.63,277.6,0,109.84,0,0,4,2,861.55,772.17,884.7142857142857,1970.047142857143,0,0
2025-04-29,europe-west,908.35,1989.24,74.76,66.34,284.25,0,99.18,1,0,4,2,860.76,903.07,885.4685714285715,1961.4199999999998,0,0
2025-04-30,europe-west,906.83,1924.03,64.04,81.06,278.75,0,100.17,2,0,4,2,908.35,875.76,889.907142857143,1967.4014285714286,0,0
2025-05-01,europe-west,704.09,1686.69,72.18,56.28,232.08,1,108.84,3,0,5,2,906.83,837.96,870.7828571428572,1933.697142857143,0,0
2025-05-02,europe-west,739.37,1801.11,59.93,71.76,246.13,0,99.53,4,0,5,2,704.09,919.32,845.0757142857144,1907.0271428571427,0,0
2025-05-03,europe-west,851.47,2084.87,55.24,61.12,284.32,0,106.35,5,1,5,2,739.37,934.58,833.2028571428572,1921.1557142857143,0,0
2025-05-04,europe-west,911.49,1956.64,76.24,66.33,282.03,1,98.89,6,1,5,2,851.47,861.55,840.3371428571429,1918.4471428571428,0,0
2025-05-05,europe-west,817.69,1912.17,70.97,71.45,265.74,0,95.3,0,0,5,2,911.49,860.76,834.1842857142857,1907.8214285714287,0,0
2025-05-06,europe-west,764.96,1727.32,69.22,86.24,243.61,0,109.26,1,0,5,2,817.69,908.35,813.6999999999999,1870.404285714286,0,0
2025-05-07,europe-west,701.45,1510.85,69.49,75.85,217.45,1,106.94,2,0,5,2,764.96,906.83,784.36,1811.3785714285714,0,0
2025-05-08,europe-west,559.54,1289.43,77.48,59.24,180.29,0,95.45,3,0,5,2,701.45,704.09,763.7099999999999,1754.6271428571429,0,0
2025-05-09,europe-west,584.46,1233.82,78.73,71.69,179.15,0,112.54,4,0,5,2,559.54,739.37,741.5799999999999,1673.5857142857144,0,0
2025-05-13,europe-west,886.69,1862.92,72.93,55.28,271.07,0,99.48,1,0,5,2,584.46,851.47,746.6114285714286,1641.8785714285714,0,0
2025-05-14,europe-west,816.14,1928.58,66.19,67.83,266.86,0,109.22,2,0,5,2,886.69,911.49,732.99,1637.8700000000001,0,0
2025-05-15,europe-west,827.3,2035.07,91.98,82.44,277.01,0,111.71,3,0,5,2,816.14,817.69,734.3628571428571,1655.4271428571428,0,0
2025-05-16,europe-west,844.51,2026.87,81.61,90.82,278.67,0,112.01,4,0,5,2,827.3,764.96,745.7271428571429,1698.2199999999998,0,0
2025-05-17,europe-west,799.07,1744.43,52.1,57.44,249.61,1,96.13,5,1,5,2,844.51,701.45,759.672857142857,1731.5885714285716,0,0
2025-05-18,europe-west,803.54,1995.92,65.42,57.76,270.62,1,106.62,6,1,5,2,799.07,559.54,794.5300000000001,1832.5157142857145,0,0
2025-05-19,europe-west,874.71,1839.38,57.43,54.68,267.54,0,110.2,0,0,5,2,803.54,584.46,835.9942857142856,1919.0242857142857,0,0
2025-05-20,europe-west,869.23,1891.27,69.68,56.01,271.01,0,108.45,1,0,5,2,874.71,886.69,833.5,1923.0742857142857,0,0
2025-05-21,europe-west,878.07,1973.15,65.0,47.75,278.85,0,105.11,2,0,5,2,869.23,816.14,842.3471428571428,1929.4414285714286,0,0
2025-05-22,europe-west,882.43,1870.42,49.83,84.01,271.1,0,97.21,3,0,5,2,878.07,827.3,850.2228571428572,1905.92,0,0
2025-05-23,europe-west,828.0,1866.22,62.22,76.4,263.4,0,104.52,4,0,5,2,882.43,844.51,847.8642857142858,1882.97,0,0
2025-05-24,europe-west,892.42,1998.57,61.39,75.28,282.85,1,104.39,5,1,5,2,828.0,799.07,861.1999999999999,1919.2757142857142,0,0
2025-05-25,europe-west,782.11,1801.23,58.68,77.06,251.92,1,99.41,6,1,5,2,892.42,803.54,858.1385714285715,1891.462857142857,0,0
2025-05-26,europe-west,825.94,1985.93,75.18,64.95,272.84,0,108.85,0,0,5,2,782.11,874.71,851.1714285714287,1912.3985714285716,0,0
2025-05-27,europe-west,770.37,1843.7,65.43,55.48,253.78,0,112.88,1,0,5,2,825.94,869.23,837.0485714285714,1905.6028571428574,0,0
2025-05-28,europe-west,840.4,1828.23,63.27,98.0,262.0,0,99.68,2,0,5,2,770.37,878.07,831.6671428571428,1884.9,0,0
2025-05-29,europe-west,813.52,1817.37,67.39,66.46,257.48,0,109.35,3,0,5,2,840.4,882.43,821.8228571428572,1877.3214285714287,0,0
2025-05-30,europe-west,808.79,1792.04,65.49,66.38,254.78,0,99.28,4,0,5,2,813.52,828.0,819.0785714285714,1866.7242857142858,0,0
2025-05-31,europe-west,842.29,1825.11,63.79,50.09,262.0,1,113.99,5,1,5,2,808.79,892.42,811.9171428571428,1841.9442857142856,0,0
2025-06-01,europe-west,719.51,1627.86,61.94,86.56,229.39,0,109.09,6,1,6,2,842.29,782.11,802.9742857142857,1817.1771428571428,0,0
2025-06-02,europe-west,787.44,1794.11,77.29,50.16,252.06,0,109.48,0,0,6,2,719.51,825.94,797.4742857142857,1789.7742857142857,0,0
2025-06-03,europe-west,954.59,1961.62,65.05,61.42,288.26,0,104.14,1,0,6,2,787.44,770.37,823.7914285714286,1806.6200000000001,0,0
2025-06-04,europe-west,909.45,1987.25,55.89,63.37,284.24,1,111.54,2,0,6,2,954.59,840.4,833.6557142857143,1829.3371428571427,0,0
2025-06-05,europe-west,812.3,1966.0,73.37,85.09,269.37,0,112.3,3,0,6,2,909.45,813.52,833.4814285714285,1850.57,0,0
2025-06-06,europe-west,740.24,1763.13,60.58,64.52,243.17,0,114.17,4,0,6,2,812.3,808.79,823.6885714285714,1846.44,0,0
2025-06-07,europe-west,754.3,1517.48,56.15,75.48,225.14,1,107.2,5,1,6,2,740.24,842.29,811.1185714285714,1802.4928571428572,0,0
2025-06-08,europe-west,608.48,1402.29,61.05,50.46,196.07,0,97.37,6,1,6,2,754.3,719.51,795.2571428571428,1770.2685714285712,0,0
2025-06-09,europe-west,548.6,1272.82,78.62,83.64,177.47,1,98.6,0,0,6,2,608.48,787.44,761.1371428571429,1695.7985714285714,0,0
2025-06-13,europe-west,702.72,1638.7,65.87,80.12,228.0,0,114.99,4,0,6,2,548.6,954.59,725.1557142857143,1649.6671428571428,0,0
2025-06-14,europe-west,794.24,1625.49,65.41,56.38,239.3,1,95.86,5,1,6,2,702.72,909.45,708.6971428571429,1597.9871428571428,0,0
2025-06-15,europe-west,761.99,1827.04,57.7,64.24,251.3,1,112.57,6,1,6,2,794.24,812.3,701.51,1578.1357142857144,0,0
2025-06-16,europe-west,751.8,1789.37,67.85,72.9,246.86,0,97.21,0,0,6,2,761.99,740.24,703.1614285714286,1581.8842857142856,0,0
2025-06-17,europe-west,795.95,1616.34,54.05,74.93,238.79,0,98.58,1,0,6,2,751.8,754.3,709.1114285714285,1596.0071428571428,0,0
2025-06-18,europe-west,813.38,1693.37,80.49,69.84,247.4,0,109.53,2,0,6,2,795.95,608.48,738.3828571428572,1637.5900000000001,0,0
2025-06-19,europe-west,724.29,1709.15,72.07,61.34,236.63,0,98.83,3,0,6,2,813.38,548.6,763.4814285714285,1699.9228571428573,0,0
2025-06-20,europe-west,717.52,1696.3,62.68,89.07,234.67,0,108.51,4,0,6,2,724.29,702.72,765.5957142857143,1708.1514285714286,0,0
2025-06-21,europe-west,748.57,1608.66,78.75,53.61,231.76,1,101.0,5,1,6,2,717.52,794.24,759.0714285714286,1705.7471428571428,0,0
2025-06-22,europe-west,826.26,1605.39,71.3,64.32,242.0,1,108.88,6,1,6,2,748.57,761.99,768.2528571428572,1674.0828571428572,0,0
2025-06-23,europe-west,774.79,1684.28,66.42,39.98,241.44,0,114.4,0,0,6,2,826.26,751.8,771.5371428571428,1659.07,0,0
2025-06-24,europe-west,793.09,1650.33,60.16,74.31,241.16,0,101.34,1,0,6,2,774.79,795.95,771.1285714285715,1663.9257142857143,0,0
2025-06-25,europe-west,778.59,1638.75,57.62,81.48,238.26,0,110.71,2,0,6,2,793.09,813.38,766.1585714285715,1656.122857142857,0,0
2025-06-26,europe-west,771.42,1654.98,60.92,60.99,238.61,0,95.38,3,0,6,2,778.59,724.29,772.8914285714285,1648.3842857142859,0,0
2025-06-27,europe-west,710.39,1659.07,69.94,78.19,230.69,0,103.64,4,0,6,2,771.42,717.52,771.8728571428571,1643.0657142857144,0,0
2025-06-28,europe-west,788.57,1558.18,57.58,95.84,233.07,1,95.04,5,1,6,2,710.39,748.57,777.5871428571428,1635.8542857142859,0,0
2025-06-29,europe-west,779.21,1613.9,69.64,57.49,236.33,1,97.96,6,1,6,2,788.57,826.26,770.8657142857143,1637.07,0,0
2025-06-30,europe-west,705.02,1655.14,72.86,59.47,229.64,0,112.03,0,0,6,2,779.21,774.79,760.8985714285715,1632.9071428571428,0,0
2025-07-01,europe-west,718.04,1697.15,75.41,55.59,234.81,0,106.96,1,0,7,3,705.02,793.09,750.1771428571428,1639.5957142857146,0,0
2025-07-02,europe-west,753.32,1832.43,76.5,77.97,250.56,0,95.04,2,0,7,3,718.04,778.59,746.5671428571428,1667.2642857142857,0,0
2025-07-03,europe-west,862.29,2007.26,78.64,61.58,279.48,0,106.84,3,0,7,3,753.32,771.42,759.5485714285714,1717.59,0,0
2025-07-04,europe-west,886.04,1894.04,62.26,75.02,273.51,0,101.86,4,0,7,3,862.29,710.39,784.6414285714285,1751.1571428571428,0,0
2025-07-05,europe-west,888.81,1970.81,69.36,80.88,280.11,0,100.21,5,1,7,3,886.04,788.57,798.9614285714287,1810.1042857142857,0,0
2025-07-06,europe-west,790.59,1924.32,58.63,59.65,263.06,1,108.4,6,1,7,3,888.81,779.21,800.5871428571429,1854.45,0,0
2025-07-07,europe-west,703.45,1605.96,66.25,75.31,225.44,0,97.28,0,0,7,3,790.59,705.02,800.3628571428571,1847.4242857142858,0,0
2025-07-08,europe-west,676.79,1294.91,54.1,84.29,196.6,0,97.28,1,0,7,3,703.45,718.04,794.47,1789.9614285714285,0,0
2025-07-09,europe-west,582.81,1210.26,64.4,80.47,177.02,1,109.5,2,0,7,3,676.79,753.32,770.1114285714285,1701.0800000000002,0,0
2025-07-13,europe-west,679.2,1606.14,48.76,78.95,222.18,1,107.77,6,1,7,3,582.81,862.29,743.9557142857144,1643.777142857143,0,0
2025-07-14,europe-west,654.87,1460.53,56.45,67.35,207.07,0,103.37,0,0,7,3,679.2,886.04,710.9314285714287,1581.847142857143,0,0
2025-07-15,europe-west,640.12,1530.27,71.67,71.77,210.74,0,104.89,1,0,7,3,654.87,888.81,675.4042857142857,1518.912857142857,0,0
2025-07-16,europe-west,617.23,1586.69,75.95,66.53,212.22,0,104.5,2,0,7,3,640.12,790.59,650.6385714285715,1470.68,0,0
2025-07-17,europe-west,685.24,1417.78,64.1,58.1,207.71,0,114.67,3,0,7,3,617.23,703.45,648.0371428571428,1443.797142857143,0,0
2025-07-18,europe-west,573.94,1527.71,67.89,85.35,201.58,0,95.2,4,0,7,3,685.24,676.79,633.3442857142857,1477.0542857142857,0,0
2025-07-19,europe-west,653.34,1399.96,59.62,43.18,201.95,1,102.13,5,1,7,3,573.94,582.81,643.4200000000001,1504.1542857142856,0,0
2025-07-20,europe-west,631.62,1381.41,71.15,70.13,197.51,1,98.26,6,1,7,3,653.34,679.2,636.6228571428572,1472.05,0,0
2025-07-21,europe-west,620.64,1394.25,91.43,76.16,197.06,0,111.7,0,0,7,3,631.62,654.87,631.7328571428571,1462.5814285714284,0,0
2025-07-22,europe-west,670.81,1470.91,72.38,61.29,210.07,0,100.96,1,0,7,3,620.64,640.12,636.1171428571428,1454.1014285714286,0,0
2025-07-23,europe-west,663.48,1466.35,72.33,84.99,208.71,0,104.87,2,0,7,3,670.81,617.23,642.7242857142857,1436.91,0,0
2025-07-24,europe-west,633.38,1435.39,65.18,75.89,202.12,0,105.72,3,0,7,3,663.48,685.24,635.3157142857143,1439.4257142857143,0,0
2025-07-25,europe-west,657.59,1402.38,58.55,93.48,202.72,0,95.44,4,0,7,3,633.38,573.94,647.2657142857144,1421.5214285714287,0,0
2025-07-26,europe-west,609.89,1463.49,59.7,73.56,201.23,1,98.13,5,1,7,3,657.59,653.34,641.0585714285714,1430.597142857143,0,0
2025-07-27,europe-west,671.08,1396.66,57.43,64.68,204.08,1,101.05,6,1,7,3,609.89,631.62,646.6957142857143,1432.7757142857142,0,0
2025-07-28,europe-west,660.24,1251.11,64.7,57.35,190.8,0,104.86,0,0,7,3,671.08,620.64,652.352857142857,1412.327142857143,0,0
2025-07-29,europe-west,657.72,1519.91,90.99,68.16,212.27,0,98.03,1,0,7,3,660.24,670.81,650.4828571428571,1419.327142857143,0,0
