timestamp,region,compute_usage_units,storage_usage_gb,cpu_utilization_percent,storage_utilization_percent,estimated_cost_usd,is_holiday,economic_index
2025-01-23,europe-west,843.13,1763.82,47.3,59.94,257.14,0,114.76
2025-01-23,us-east,1153.99,2079.63,57.29,71.33,288.08,0,112.85
2025-01-23,india-south,994.19,2104.33,71.85,58.33,203.59,0,114.87
2025-01-24,india-south,972.85,2157.3,55.25,77.45,204.53,0,104.41
2025-01-24,europe-west,833.03,1778.13,66.73,68.58,256.93,0,95.56
2025-01-24,us-east,1167.52,2056.37,67.99,63.22,288.03,0,112.63
2025-01-25,india-south,1011.47,2162.4,68.09,67.26,208.29,1,114.78
2025-01-25,us-east,1117.48,2186.73,66.62,80.0,291.4,1,102.19
2025-01-25,europe-west,786.94,1783.33,63.87,66.1,251.12,1,113.6
2025-01-26,europe-west,795.27,1630.39,63.97,59.8,239.84,1,101.84
2025-01-26,india-south,975.18,2183.81,74.3,50.29,206.18,1,111.03
2025-01-26,us-east,1147.24,2173.64,61.58,77.07,294.04,1,106.62
2025-01-27,us-east,1195.87,2140.31,48.22,74.01,297.48,0,107.94
2025-01-27,europe-west,767.12,1765.83,62.21,62.45,247.02,0,113.86
2025-01-27,india-south,950.82,2144.59,60.77,78.02,201.86,0,107.1
2025-01-28,us-east,1260.61,2102.43,49.68,70.74,302.51,0,109.69
2025-01-28,india-south,917.0,2163.61,65.47,69.29,199.84,0,113.41
2025-01-28,europe-west,761.77,1635.86,65.26,92.42,235.75,0,108.33
2025-01-29,us-east,1189.01,2170.17,73.64,51.27,298.8,0,96.7
2025-01-29,europe-west,769.22,1758.77,68.86,67.57,246.73,0,113.25
2025-01-29,india-south,1053.63,2201.7,61.66,55.27,214.22,0,113.81
2025-01-30,europe-west,864.67,1848.46,59.13,75.07,266.92,0,109.73
2025-01-30,us-east,1219.91,2121.15,70.44,72.98,298.98,0,103.14
2025-01-30,india-south,974.86,2316.22,77.68,66.43,213.31,0,110.46
2025-01-31,us-east,1169.32,2138.89,68.44,72.36,294.19,0,107.07
2025-01-31,india-south,990.53,2028.71,88.28,49.55,199.17,0,113.49
2025-01-31,europe-west,828.9,1782.98,64.42,73.22,256.77,0,109.18
2025-02-01,india-south,988.18,2247.83,60.21,88.94,210.81,1,95.99
2025-02-01,europe-west,867.93,1788.95,67.26,81.49,262.53,1,95.17
2025-02-01,us-east,1112.5,2142.12,80.28,54.72,287.6,1,111.13
2025-02-02,europe-west,789.08,1856.76,55.48,72.57,257.37,1,99.63
2025-02-02,india-south,1034.46,2236.47,60.11,48.96,214.37,1,103.19
2025-02-02,us-east,1208.1,2137.51,51.02,67.37,298.74,1,107.62
2025-02-03,us-east,1105.47,2219.99,48.96,63.91,292.37,0,103.93
2025-02-03,europe-west,826.9,1869.7,84.12,85.04,263.53,0,112.9
2025-02-03,india-south,1043.9,2241.97,73.35,59.29,215.52,0,100.81
2025-02-04,europe-west,819.82,1846.85,64.55,65.41,260.72,0,111.86
2025-02-04,us-east,1090.42,2302.02,66.78,62.48,296.46,0,109.39
2025-02-04,india-south,1053.23,2257.39,76.16,63.31,217.2,0,105.87
2025-02-05,us-east,1279.39,2166.86,58.06,75.53,309.4,0,107.18
2025-02-05,india-south,1076.47,2238.35,50.12,51.17,218.27,0,104.14
2025-02-05,europe-west,739.37,1801.11,59.93,71.76,246.13,0,99.53
2025-02-06,europe-west,787.44,1794.11,77.29,50.16,252.06,0,109.48
2025-02-06,us-east,1202.25,2142.72,85.3,57.44,298.41,0,102.38
2025-02-06,india-south,1018.93,2154.2,72.45,54.31,208.52,0,110.77
2025-02-07,europe-west,753.32,1832.43,76.5,77.97,250.56,0,95.04
2025-02-07,india-south,1071.92,2273.73,71.68,64.5,219.77,0,96.71
2025-02-07,us-east,1146.96,2154.36,52.55,74.36,292.62,0,114.35
2025-02-08,us-east,1238.8,2242.1,62.94,98.0,309.95,1,110.86
2025-02-08,europe-west,754.41,1981.78,67.47,69.05,262.83,1,107.86
2025-02-08,india-south,1055.82,2249.25,65.99,83.4,216.99,1,95.81
2025-02-09,us-east,1197.77,2156.26,56.62,60.81,298.85,1,110.22
2025-02-09,europe-west,855.43,1909.34,71.59,50.26,270.61,1,107.69
2025-02-09,india-south,1107.33,2288.44,75.59,80.86,223.76,1,108.5
2025-02-10,india-south,993.95,2320.1,55.76,66.2,215.25,0,112.23
2025-02-10,europe-west,789.77,1792.99,68.48,89.03,252.29,0,96.69
2025-02-10,us-east,1220.05,2283.02,65.82,65.02,310.65,0,101.74
2025-02-11,india-south,1054.12,2291.34,74.88,65.73,219.12,0,114.84
2025-02-11,europe-west,775.67,1813.29,70.02,66.02,252.03,0,99.41
2025-02-11,us-east,1207.21,2241.35,73.16,64.84,306.11,0,103.12
2025-02-12,india-south,919.59,2442.77,58.98,45.46,215.18,0,111.15
2025-02-12,us-east,1298.29,2295.93,66.54,72.01,320.96,0,110.36
2025-02-12,europe-west,896.82,1959.07,79.83,73.84,280.24,0,99.45
2025-02-13,india-south,1065.81,2416.49,49.04,73.84,226.95,0,96.47
2025-02-13,europe-west,790.08,1808.39,72.09,69.48,253.58,0,98.38
2025-02-13,us-east,1191.59,2176.52,67.7,84.93,299.57,0,99.96
2025-02-14,europe-west,845.09,1848.5,64.81,61.5,264.28,0,98.69
2025-02-14,us-east,1285.18,2227.91,67.66,74.95,314.49,0,108.38
2025-02-14,india-south,1038.34,2262.96,55.16,84.84,216.16,0,98.72
2025-02-15,us-east,1254.03,2219.66,68.09,50.57,310.16,1,95.27
2025-02-15,europe-west,896.93,1937.39,73.3,73.74,278.5,1,112.06
2025-02-15,india-south,1001.69,2430.78,59.31,70.78,221.94,1,111.06
2025-02-16,europe-west,838.78,1936.78,80.32,78.97,270.58,1,100.18
2025-02-16,us-east,1276.7,2142.14,73.64,57.08,307.3,1,110.2
2025-02-16,india-south,1017.0,2343.37,73.85,82.68,218.59,1,112.06
2025-02-17,us-east,1187.85,2194.55,56.6,83.79,300.42,0,102.6
2025-02-17,europe-west,921.27,1940.9,58.19,68.25,282.08,0,109.03
2025-02-17,india-south,1039.94,2399.36,47.25,61.39,223.69,0,109.13
2025-02-18,us-east,1213.07,2394.35,66.85,58.07,317.82,0,98.65
2025-02-18,europe-west,951.97,1911.93,54.55,74.81,283.88,0,96.82
2025-02-18,india-south,1044.25,2479.55,70.54,73.08,228.42,0,104.94
2025-02-19,europe-west,900.76,1772.31,53.36,70.08,265.62,0,96.9
2025-02-19,us-east,1278.97,2283.96,85.57,59.56,317.78,0,100.72
2025-02-19,india-south,1057.62,2370.36,64.19,82.54,223.71,0,98.7
2025-02-20,europe-west,873.0,1866.54,85.81,65.46,269.51,0,112.02
2025-02-20,us-east,1316.6,2357.97,59.49,81.3,327.62,0,100.62
2025-02-20,india-south,1057.94,2407.57,66.81,64.39,225.75,0,107.22
2025-02-21,us-east,1237.35,2171.62,74.45,72.64,304.7,0,114.97
2025-02-21,india-south,1072.41,2395.52,66.64,91.27,226.41,0,108.82
2025-02-21,europe-west,877.9,1908.29,64.27,63.52,273.56,0,108.12
2025-02-22,us-east,1226.71,2285.5,65.91,85.86,311.62,1,109.65
2025-02-22,india-south,1072.13,2317.62,72.59,70.19,222.17,1,106.57
2025-02-22,europe-west,760.91,1981.03,38.96,86.97,263.64,1,98.6
2025-02-23,europe-west,855.82,1900.75,80.37,67.91,269.97,1,110.58
2025-02-23,india-south,1091.33,2382.74,62.44,69.49,227.42,1,113.59
2025-02-23,us-east,1318.01,2397.53,65.79,81.6,330.64,1,98.9
2025-02-24,india-south,1023.47,2515.57,71.86,55.26,228.49,0,100.58
2025-02-24,us-east,1235.05,2262.74,62.15,95.09,310.99,0,109.27
2025-02-24,europe-west,845.57,1903.4,57.6,70.15,268.8,0,107.51
2025-02-25,india-south,1026.83,2384.16,68.5,81.53,221.68,0,104.39
2025-02-25,europe-west,885.69,1966.42,37.45,75.07,279.33,0,105.91
2025-02-25,us-east,1266.8,2449.16,61.66,53.24,328.21,0,113.25
2025-02-26,india-south,965.37,2249.42,55.83,65.49,208.84,0,98.41
2025-02-26,europe-west,902.12,2015.79,45.69,54.69,285.56,0,104.08
2025-02-26,us-east,1274.16,2369.19,69.08,79.69,323.34,0,104.59
2025-02-27,us-east,1231.28,2316.52,45.24,49.05,314.4,0,104.44
2025-02-27,india-south,942.01,2462.69,65.33,72.37,218.28,0,99.61
2025-02-27,europe-west,889.25,1876.08,52.85,79.16,272.48,0,108.02
2025-02-28,india-south,1074.66,2406.53,49.07,70.89,227.21,0,100.98
2025-02-28,europe-west,879.11,1935.37,63.48,57.22,275.92,0,104.29
2025-02-28,us-east,1300.73,2308.25,55.71,90.59,322.14,0,111.91
2025-03-01,india-south,1043.47,2401.68,64.92,69.84,224.13,1,96.23
2025-03-01,europe-west,938.2,2016.0,68.06,73.93,290.46,1,108.87
2025-03-01,us-east,1309.53,2305.42,63.08,95.73,322.99,1,101.55
2025-03-02,europe-west,868.78,2008.93,60.99,79.4,280.5,1,107.15
2025-03-02,india-south,1065.67,2395.01,74.45,68.02,225.77,1,105.12
2025-03-02,us-east,1261.09,2388.04,92.85,88.29,323.13,1,112.41
2025-03-03,us-east,1286.35,2357.96,64.02,66.22,323.99,0,107.51
2025-03-03,europe-west,837.04,1934.74,76.03,81.49,270.18,0,101.05
2025-03-03,india-south,1002.39,2429.26,58.63,66.45,221.92,0,111.13
2025-03-04,europe-west,856.26,1892.04,74.72,81.77,269.32,0,104.99
2025-03-04,india-south,1101.21,2402.35,71.14,52.15,229.38,0,110.26
2025-03-04,us-east,1291.86,2331.18,50.79,73.86,322.72,0,107.35
2025-03-05,europe-west,851.47,2084.87,55.24,61.12,284.32,0,106.35
2025-03-05,india-south,1023.1,2325.05,69.17,63.4,218.14,0,100.1
2025-03-05,us-east,1302.73,2403.25,78.7,83.06,329.22,0,104.3
2025-03-06,europe-west,954.59,1961.62,65.05,61.42,288.26,0,104.14
2025-03-06,india-south,1030.57,2337.21,59.04,90.79,219.48,0,100.63
2025-03-06,us-east,1253.05,2339.94,64.49,64.73,318.7,0,107.48
2025-03-07,us-east,1312.01,2224.55,63.94,70.53,317.47,0,107.86
2025-03-07,europe-west,862.29,2007.26,78.64,61.58,279.48,0,106.84
2025-03-07,india-south,1049.18,2400.24,55.01,62.16,224.57,0,112.1
2025-03-08,india-south,1045.53,2460.96,70.51,79.72,227.52,1,113.14
2025-03-08,europe-west,943.76,1929.99,63.91,65.17,284.23,1,96.74
2025-03-08,us-east,1309.56,2403.45,63.18,62.76,330.05,1,104.98
2025-03-09,india-south,1151.52,2471.9,54.24,52.87,237.68,1,102.97
2025-03-09,us-east,1243.88,2339.1,63.15,66.66,317.54,1,95.01
2025-03-09,europe-west,842.32,1982.95,63.42,84.35,274.81,1,106.61
2025-03-10,europe-west,848.9,1892.93,68.46,60.22,268.4,0,104.07
2025-03-10,us-east,1351.0,2373.18,49.58,60.15,332.84,0,103.57
2025-03-10,india-south,1065.9,2484.65,65.69,62.71,230.64,0,111.54
2025-03-11,europe-west,913.95,2021.34,75.63,67.76,287.61,0,95.54
2025-03-11,india-south,1082.82,2488.55,76.86,55.3,232.38,0,109.82
2025-03-11,us-east,1320.38,2366.81,65.12,67.87,328.71,0,110.58
2025-03-12,india-south,1085.75,2471.06,58.55,76.41,231.7,0,99.66
2025-03-12,europe-west,892.98,1905.18,62.63,61.82,275.35,0,97.02
2025-03-12,us-east,1316.48,2220.38,70.44,78.38,317.7,0,101.71
2025-03-13,india-south,1162.23,2509.58,75.91,67.16,240.68,0,106.8
2025-03-13,europe-west,908.27,2101.7,69.76,84.76,293.36,0,108.5
2025-03-13,us-east,1326.9,2402.25,66.76,64.05,332.04,0,101.87
2025-03-14,europe-west,854.94,2057.6,59.26,70.96,282.57,0,104.01
2025-03-14,india-south,1102.07,2394.06,71.39,77.31,229.0,0,109.05
2025-03-14,us-east,1326.7,2359.39,72.56,91.1,328.93,0,114.81
2025-03-15,us-east,1339.73,2451.74,72.35,79.36,337.14,1,96.5
2025-03-15,india-south,1106.82,2483.12,70.29,58.46,234.25,1,98.84
2025-03-15,europe-west,956.78,1967.2,83.0,46.78,289.01,1,97.74
2025-03-16,europe-west,869.24,2003.49,71.73,81.63,280.12,1,106.64
2025-03-16,india-south,1152.39,2362.17,66.14,70.48,231.82,1,102.0
2025-03-16,us-east,1228.18,2293.07,91.01,62.65,312.34,1,95.86
2025-03-17,europe-west,874.81,1972.4,67.51,64.95,278.35,0,108.79
2025-03-17,us-east,1310.22,2432.02,54.9,60.26,332.18,0,114.61
2025-03-17,india-south,1113.41,2405.37,68.09,70.34,230.64,0,97.02
2025-03-18,us-east,1377.84,2297.46,65.34,67.36,330.61,0,97.32
2025-03-18,europe-west,946.43,2070.94,61.66,78.32,296.03,0,105.99
2025-03-18,india-south,1088.79,2478.79,59.97,44.88,232.39,0,96.95
2025-03-19,us-east,1251.69,2324.03,60.62,58.03,317.39,0,113.68
2025-03-19,europe-west,855.25,1871.31,76.39,55.12,267.5,0,109.74
2025-03-19,india-south,1023.21,2412.5,81.68,82.79,222.89,0,98.91
2025-03-20,us-east,1317.19,2403.98,63.04,62.17,331.0,0,101.79
2025-03-20,india-south,1086.92,2494.76,71.26,61.5,233.09,0,100.2
2025-03-20,europe-west,995.73,2073.65,72.53,77.01,302.92,0,96.2
2025-03-21,us-east,1333.38,2394.45,70.16,49.13,332.26,0,96.66
2025-03-21,india-south,1086.63,2527.85,62.84,63.11,234.85,0,107.9
2025-03-21,europe-west,885.31,1919.75,48.62,65.75,275.5,0,110.27
2025-03-22,us-east,1252.6,2484.52,78.52,73.09,329.05,1,114.11
2025-03-22,europe-west,850.2,1867.03,85.17,86.35,266.47,1,105.12
2025-03-22,india-south,1230.87,2580.62,59.11,68.09,250.72,1,109.86
2025-03-23,europe-west,950.55,1966.13,75.06,72.11,288.08,1,109.39
2025-03-23,india-south,1140.74,2487.83,67.54,59.97,237.57,1,108.33
2025-03-23,us-east,1284.97,2410.4,49.21,63.34,327.6,1,110.56
2025-03-24,europe-west,959.99,2009.85,76.42,60.02,292.91,0,98.36
2025-03-24,india-south,1090.85,2494.36,58.16,62.62,233.42,0,106.97
2025-03-24,us-east,1327.8,2488.04,53.05,68.26,338.32,0,101.87
2025-03-25,india-south,1132.74,2548.68,74.6,62.77,240.14,0,105.8
2025-03-25,us-east,1424.94,2402.89,65.88,66.88,343.85,0,100.95
2025-03-25,europe-west,889.54,2000.46,90.33,61.33,282.62,0,103.24
2025-03-26,india-south,1077.23,2450.24,69.03,75.32,229.8,0,100.5
2025-03-26,europe-west,928.44,2032.59,69.55,70.09,290.48,0,107.37
2025-03-26,us-east,1378.99,2504.58,85.85,66.5,345.66,0,106.87
2025-03-27,india-south,1021.28,2463.13,64.14,84.67,225.45,0,106.07
2025-03-27,europe-west,892.35,1997.64,73.99,78.69,282.77,0,110.84
2025-03-27,us-east,1292.57,2471.14,55.12,57.88,332.88,0,104.04
2025-03-28,europe-west,920.15,2026.18,68.52,71.59,288.84,0,95.72
2025-03-28,india-south,1119.15,2475.28,71.71,64.29,234.94,0,97.49
2025-03-28,us-east,1312.14,2404.67,93.88,73.66,330.45,0,97.13
2025-03-29,us-east,1325.52,2331.2,57.24,80.19,326.76,1,96.0
2025-03-29,india-south,1112.75,2562.33,61.28,80.61,239.08,1,100.36
2025-03-29,europe-west,921.11,2042.25,60.05,61.14,290.28,1,107.68
2025-03-30,europe-west,905.66,2044.52,64.51,63.39,288.37,1,110.06
2025-03-30,india-south,1070.01,2518.61,69.21,77.66,232.85,1,101.43
2025-03-30,us-east,1286.09,2335.53,59.27,65.98,322.35,1,112.24
2025-03-31,india-south,1120.63,2453.85,80.53,74.39,233.91,0,106.21
2025-03-31,us-east,1265.96,2457.82,62.92,59.76,328.73,0,96.78
2025-03-31,europe-west,885.44,2005.92,56.97,79.12,282.5,0,111.32
2025-04-01,europe-west,898.3,1941.68,50.25,88.82,279.03,0,110.4
2025-04-01,us-east,1324.82,2365.0,66.42,62.34,329.11,0,106.05
2025-04-01,india-south,1110.49,2392.46,72.2,64.17,229.68,0,107.17
2025-04-02,us-east,1337.74,2453.97,60.9,40.41,337.06,0,100.39
2025-04-02,india-south,1052.56,2421.21,74.12,69.91,226.01,0,114.53
2025-04-02,europe-west,932.85,2023.13,50.5,68.83,290.31,0,109.42
2025-04-03,india-south,1049.9,2516.94,55.47,78.49,230.95,0,103.14
2025-04-03,us-east,1375.68,2490.52,73.06,69.56,344.25,0,108.87
2025-04-03,europe-west,866.51,1831.82,56.8,67.0,265.82,0,106.76
2025-04-04,us-east,1283.77,2475.8,54.86,80.29,332.16,0,114.59
2025-04-04,india-south,1106.16,2572.48,65.36,72.03,239.03,0,105.18
2025-04-04,europe-west,948.63,2081.05,69.79,64.33,297.15,0,100.55
2025-04-05,us-east,1358.49,2338.47,52.09,69.89,331.24,1,112.98
2025-04-05,europe-west,911.49,1956.64,76.24,66.33,282.03,1,98.89
2025-04-05,india-south,1079.89,2524.92,74.9,88.27,234.09,1,112.7
2025-04-06,india-south,1079.84,2494.67,59.66,53.55,232.44,1,113.5
2025-04-06,europe-west,909.45,1987.25,55.89,63.37,284.24,1,111.54
2025-04-06,us-east,1326.0,2425.96,74.31,69.49,333.64,1,99.7
2025-04-07,europe-west,886.04,1894.04,62.26,75.02,273.51,0,101.86
2025-04-07,india-south,1110.65,2494.92,63.39,71.1,235.24,0,96.02
2025-04-07,us-east,1271.69,2314.36,61.33,77.07,319.1,0,104.49
2025-04-08,europe-west,899.26,2161.63,57.66,73.52,297.01,0,110.01
2025-04-08,us-east,1259.86,2573.6,56.38,87.5,336.33,0,107.39
2025-04-08,india-south,1101.44,2537.66,60.36,69.29,236.72,0,102.51
2025-04-09,us-east,1322.0,2410.73,60.47,66.69,332.06,0,114.96
2025-04-09,india-south,1119.58,2444.24,72.52,62.61,233.3,0,108.44
2025-04-09,europe-west,946.66,1919.69,50.56,69.65,283.79,0,112.64
2025-04-10,india-south,1049.57,2552.36,52.82,73.59,232.84,0,113.49
2025-04-10,us-east,1328.2,2398.07,63.88,77.93,331.9,0,102.76
2025-04-10,europe-west,887.15,1856.75,64.34,80.28,270.63,0,96.18
2025-04-11,india-south,1067.17,2429.63,66.77,45.96,227.78,0,111.74
2025-04-11,europe-west,923.84,2079.22,64.54,61.98,293.65,0,96.44
2025-04-11,us-east,1274.43,2202.12,51.14,78.95,311.35,0,114.72
2025-04-12,us-east,1346.63,2417.09,64.98,72.93,335.48,1,113.01
2025-04-12,europe-west,867.78,2063.38,55.71,68.2,284.78,1,105.08
2025-04-12,india-south,1114.68,2440.92,70.87,72.82,232.68,1,109.91
2025-04-13,europe-west,898.04,1991.43,48.47,68.59,283.03,1,96.59
2025-04-13,india-south,1085.87,2351.37,76.27,60.01,225.23,1,96.78
2025-04-13,us-east,1270.58,2437.79,78.39,65.72,327.85,1,108.15
2025-04-14,us-east,1234.33,2465.02,55.37,50.47,325.46,0,114.52
2025-04-14,europe-west,947.4,2081.05,81.19,53.41,296.98,0,100.22
2025-04-14,india-south,1111.78,2408.44,56.63,59.95,230.66,0,98.16
2025-04-15,us-east,1298.88,2481.0,80.37,47.27,334.35,0,104.37
2025-04-15,india-south,1094.08,2469.64,66.45,79.1,232.37,0,98.93
2025-04-15,europe-west,929.23,1759.51,46.44,75.89,268.43,0,98.47
2025-04-16,europe-west,934.75,1711.54,53.49,60.08,265.29,0,106.18
2025-04-16,india-south,1057.52,2532.1,61.44,49.66,232.46,0,101.35
2025-04-16,us-east,1344.35,2359.82,57.91,84.45,331.08,0,104.61
2025-04-17,us-east,1379.84,2337.34,68.58,70.25,333.72,0,111.82
2025-04-17,india-south,1040.66,2478.29,61.24,83.2,228.02,0,107.86
2025-04-17,europe-west,836.09,1887.95,68.06,58.33,266.26,0,112.83
2025-04-18,india-south,1025.61,2440.9,58.27,65.38,224.64,0,98.77
2025-04-18,europe-west,933.2,2127.71,67.9,70.89,298.85,0,103.89
2025-04-18,us-east,1236.06,2306.62,61.73,96.56,314.26,0,103.37
2025-04-19,europe-west,986.72,2051.98,66.27,58.71,299.94,1,101.07
2025-04-19,india-south,1125.31,2416.29,56.72,73.33,232.3,1,106.69
2025-04-19,us-east,1315.34,2400.98,68.59,83.61,330.57,1,102.1
2025-04-20,india-south,1168.4,2380.06,75.39,87.71,234.23,1,98.68
2025-04-20,us-east,1283.82,2453.98,56.47,54.94,330.6,1,110.28
2025-04-20,europe-west,934.2,1945.87,52.11,67.63,284.23,1,98.46
2025-04-21,europe-west,772.17,1929.56,56.26,42.68,260.99,0,102.18
2025-04-21,india-south,1089.78,2351.54,71.72,62.0,225.59,0,102.87
2025-04-21,us-east,1344.42,2423.76,86.76,69.87,335.69,0,105.6
2025-04-22,europe-west,903.07,2049.63,81.72,62.41,288.44,0,104.95
2025-04-22,us-east,1281.88,2371.47,54.69,93.54,324.43,0,110.62
2025-04-22,india-south,1089.92,2434.74,62.25,81.27,230.11,0,106.11
2025-04-23,europe-west,875.76,1882.16,50.87,62.36,271.15,0,107.63
2025-04-23,us-east,1252.63,2345.72,70.81,65.28,319.07,0,103.39
2025-04-23,india-south,1065.13,2442.91,57.65,64.7,228.32,0,108.43
2025-04-24,us-east,1242.29,2426.33,74.6,45.94,323.63,0,106.39
2025-04-24,europe-west,837.96,1922.62,60.24,98.0,269.32,0,107.89
2025-04-24,india-south,1069.4,2441.36,69.04,76.38,228.62,0,110.76
2025-04-25,us-east,1279.97,2301.77,47.07,87.45,319.18,0,110.85
2025-04-25,europe-west,919.32,1987.8,54.03,56.97,285.62,0,113.22
2025-04-25,india-south,1041.92,2442.28,64.09,54.2,226.19,0,102.1
2025-04-26,us-east,1313.98,2397.86,54.07,66.25,330.18,1,105.14
2025-04-26,europe-west,934.58,1985.97,59.92,78.2,287.53,1,100.2
2025-04-26,india-south,1020.47,2386.07,72.95,62.18,221.21,1,98.83
2025-04-27,europe-west,861.55,1975.6,66.29,88.48,276.81,1,106.56
2025-04-27,us-east,1251.65,2375.74,51.18,76.34,321.11,1,101.62
2025-04-27,india-south,1131.86,2463.16,95.0,54.44,235.43,1,108.23
2025-04-28,us-east,1265.76,2302.74,62.3,65.51,317.55,0,107.16
2025-04-28,india-south,1063.61,2362.94,52.23,74.71,223.85,0,109.27
2025-04-28,europe-west,860.76,1986.55,85.54,55.63,277.6,0,109.84
2025-04-29,europe-west,908.35,1989.24,74.76,66.34,284.25,0,99.18
2025-04-29,us-east,1257.06,2251.64,59.7,57.7,312.83,0,114.1
